timestamp,open,high,low,close,volume,Close time,Quote asset volume,Number of trades,Taker buy base,Taker buy quote,Ignore,bid_ask_spread,volume_24h,num_trades_24h,symbol
2021-01-01,736.42000000,749.00000000,714.29000000,728.91000000,675114.09329000,1609545599999,496072043.77740740,483671,338988.53158000,249240373.93868390,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-02,728.91000000,787.69000000,714.91000000,774.56000000,1352618.57668000,1609631999999,1024472182.61208700,824134,686674.73342000,519915827.01148550,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-03,774.44000000,1011.07000000,768.71000000,978.28000000,2813603.88615000,1609718399999,2522411859.73160970,1636501,1439027.79886000,1290266275.59314880,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-04,978.33000000,1162.97000000,890.00000000,1041.43000000,4245010.94004000,1609804799999,4303634203.21959870,2477862,2126337.67210000,2157639019.32919130,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-05,1041.45000000,1134.60000000,974.45000000,1099.56000000,2706995.67525000,1609891199999,2857050280.00814230,1960503,1337641.02794000,1412551452.85355810,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-06,1100.16000000,1213.00000000,1057.26000000,1208.42000000,2390136.59334000,1609977599999,2725262121.28851310,1600888,1227955.88850000,1401239480.53057930,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-07,1208.75000000,1289.00000000,1131.00000000,1224.87000000,1972922.82059000,1610063999999,2406219891.36853430,1402699,974726.97516000,1189746026.15138440,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-08,1224.86000000,1273.75000000,1065.00000000,1216.93000000,2131172.92341000,1610150399999,2543427452.58012550,1718817,1042889.10509000,1246619297.41983940,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-09,1216.72000000,1304.37000000,1171.36000000,1276.00000000,1448871.11514000,1610236799999,1780137376.41646950,1131871,746369.69680000,918333130.76833010,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-10,1276.00000000,1348.33000000,1170.00000000,1254.25000000,1951179.35003000,1610323199999,2517791852.40776210,1437486,979792.30536000,1266203575.09528690,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-11,1254.24000000,1260.00000000,915.00000000,1087.01000000,4099450.90046000,1610409599999,4323564508.69963730,2577496,1981122.01834000,2089606728.71270800,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-12,1087.00000000,1150.02000000,1006.33000000,1050.16000000,2302645.34052000,1610495999999,2491067092.51012720,1516625,1149858.00491000,1244662146.28528080,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-13,1050.36000000,1137.65000000,987.48000000,1129.89000000,1564202.39081000,1610582399999,1664178969.07380440,1123983,792814.80569000,844656818.22553690,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-14,1129.79000000,1247.55000000,1086.70000000,1231.62000000,1555737.38556000,1610668799999,1825860914.17379550,1255769,794405.96443000,932454704.10136900,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-15,1231.89000000,1256.98000000,1069.42000000,1168.53000000,1944038.83738000,1610755199999,2302781118.95873940,1519266,966118.73281000,1145518024.49123220,0,0.010000000000218279,484180.3566,5960552.0,ETHUSDT
2021-01-16,1168.48000000,1298.00000000,1151.77000000,1227.83000000,1575384.43797000,1610841599999,1927453174.61179310,1252473,804431.16803000,984555467.09145990,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-17,1227.83000000,1269.02000000,1165.00000000,1232.45000000,1317285.00579000,1610927999999,1606424364.49704180,1121278,665250.50449000,811881943.45552540,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-18,1232.50000000,1260.75000000,1182.58000000,1258.45000000,998050.11073000,1611014399999,1223628040.73726070,940604,499759.24002000,613148505.56560630,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-19,1258.52000000,1438.30000000,1251.49000000,1365.36000000,2278852.55758000,1611100799999,3120980923.93030880,1840481,1158029.40293000,1585793803.66076070,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-20,1365.36000000,1407.93000000,1235.42000000,1376.99000000,2219137.62144000,1611187199999,2931656296.46700050,1852253,1103381.08760000,1459031149.78985600,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-21,1376.72000000,1390.00000000,1086.00000000,1110.96000000,2310208.57298000,1611273599999,2857288905.57713290,1864620,1114608.89147000,1379815497.02161520,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-22,1111.98000000,1273.79000000,1042.31000000,1232.62000000,2020593.21673000,1611359999999,2360267831.31755460,1652010,1036188.85921000,1212076603.47097220,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-23,1232.61000000,1272.44000000,1195.90000000,1233.60000000,1009545.08258000,1611446399999,1250575691.76273060,932871,505750.89704000,626781286.58099590,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-24,1233.46000000,1398.83000000,1220.00000000,1392.51000000,1510879.53817000,1611532799999,1996765627.54051920,1313986,790374.50924000,1045052388.63841560,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-25,1392.19000000,1475.00000000,1293.69000000,1317.88000000,1885441.31289000,1611619199999,2644267236.89718770,1661512,943347.25829000,1324815913.98590850,0,0.009999999999763531,484180.3566,5960552.0,ETHUSDT
2021-01-26,1317.60000000,1378.49000000,1244.56000000,1365.97000000,1682923.65799000,1611705599999,2216751668.39271260,1423178,856659.30135000,1128968367.85389060,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-01-27,1366.54000000,1373.90000000,1207.00000000,1239.03000000,2009772.08358000,1611791999999,2554649901.07484460,1737296,997748.24567000,1268777717.49710370,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-01-28,1238.93000000,1360.00000000,1217.23000000,1329.69000000,1365269.71962000,1611878399999,1790490878.19379420,1275024,702526.23919000,922191761.36835110,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-01-29,1329.44000000,1436.90000000,1285.35000000,1379.50000000,2253963.18682000,1611964799999,3077996801.23176560,1714076,1126572.38403000,1539947796.20749350,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-01-30,1379.56000000,1406.00000000,1326.41000000,1378.05000000,1040042.23630000,1612051199999,1414231402.54388340,1013174,508185.46266000,691043000.99942650,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-01-31,1378.04000000,1380.74000000,1281.12000000,1312.55000000,958704.85571000,1612137599999,1276842259.97134880,828176,448756.56134000,597602925.78056310,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-01,1312.45000000,1377.99000000,1269.99000000,1374.17000000,1096397.91862000,1612223999999,1449463766.72379510,915584,550007.37258000,727808340.67551960,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-02,1374.09000000,1547.90000000,1360.28000000,1511.87000000,1944227.99878000,1612310399999,2821617332.39978510,1614541,986022.09176000,1431300798.43024110,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-03,1511.93000000,1669.35000000,1508.39000000,1664.49000000,1535869.88801000,1612396799999,2418887041.58756150,1384979,793334.97198000,1249029451.14196070,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-04,1664.67000000,1695.20000000,1554.44000000,1595.67000000,1646502.32962000,1612483199999,2693099602.27560810,1507993,825236.64834000,1350478681.24540390,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-05,1595.53000000,1760.49000000,1591.00000000,1719.19000000,1194123.29946000,1612569599999,2011685911.16688670,1326415,600948.63761000,1012301493.08615330,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-06,1718.95000000,1743.67000000,1642.94000000,1676.35000000,1149808.33101000,1612655999999,1940057857.94389820,1152167,565703.52545000,954941828.40177990,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-07,1676.35000000,1693.00000000,1490.46000000,1611.62000000,1281734.86814000,1612742399999,2044371589.02327640,1263737,618789.69751000,987284129.73539090,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-08,1611.46000000,1775.57000000,1563.89000000,1750.15000000,1339777.09536000,1612828799999,2255426926.01997780,1372788,677614.29512000,1141288384.54742980,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-09,1749.68000000,1821.88000000,1708.49000000,1769.13000000,1185071.89593000,1612915199999,2080818891.69890500,1173421,593423.36868000,1042666171.18075090,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-10,1769.14000000,1837.86000000,1680.00000000,1740.78000000,1219932.25474000,1613001599999,2149076144.40765770,1279140,605462.91818000,1067949000.52371340,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-11,1740.76000000,1819.00000000,1703.44000000,1785.62000000,735079.82699000,1613087999999,1301681871.56326880,935602,367056.14118000,650153645.44318730,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-12,1785.83000000,1864.88000000,1739.88000000,1840.26000000,909600.20653000,1613174399999,1635426867.77409270,996495,460779.83709000,829217927.34420890,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-13,1840.24000000,1871.72000000,1765.00000000,1814.96000000,767589.07285000,1613260799999,1395594093.28399760,853189,372008.25141000,676531918.54325300,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-14,1815.25000000,1850.00000000,1784.11000000,1800.42000000,675261.77873000,1613347199999,1230043295.03428380,714827,334005.33344000,608556979.10253330,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-15,1800.03000000,1835.72000000,1655.67000000,1779.25000000,1053474.57879000,1613433599999,1860338371.89740780,1086589,511771.37271000,904087834.75423730,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-16,1779.33000000,1827.28000000,1724.00000000,1781.99000000,817493.47513000,1613519999999,1455884891.92438010,826125,389395.78700000,693804838.74920430,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-17,1781.99000000,1855.00000000,1733.01000000,1849.88000000,795711.63311000,1613606399999,1437546812.97183170,862461,412387.45021000,745568293.76172300,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-18,1849.70000000,1950.50000000,1849.69000000,1939.61000000,937227.10191000,1613692799999,1787383532.10237610,1053661,493607.02549000,941541216.78113600,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-19,1938.91000000,1972.82000000,1891.00000000,1955.00000000,793404.41150000,1613779199999,1533991632.12954610,988320,388954.85277000,752267904.16996680,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-20,1955.46000000,2042.34000000,1803.14000000,1913.00000000,1261315.81279000,1613865599999,2493836246.48714560,1329067,624716.42408000,1236782122.34460490,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-21,1912.90000000,1976.31000000,1883.01000000,1933.53000000,756568.19743000,1613951999999,1467970937.28507250,895138,386132.26661000,749271580.57468510,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-22,1933.54000000,1936.29000000,1551.00000000,1777.58000000,1807244.98099000,1614038399999,3200483176.97958480,1799926,854014.62953000,1513747907.80303880,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-23,1777.42000000,1782.39000000,1355.00000000,1577.89000000,2547837.82068000,1614124799999,3931407907.53427650,2396626,1231889.46331000,1903489088.14390600,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-24,1577.79000000,1712.70000000,1500.20000000,1623.39000000,1384388.81727000,1614211199999,2261264845.46507440,1319936,705887.81504000,1153792817.18654230,0,0.009999999999763531,484193.8898,5960925.0,ETHUSDT
2021-02-25,1623.16000000,1671.59000000,1459.16000000,1481.75000000,1032670.79409000,1614297599999,1650582276.87186390,1110019,501173.65129000,802212265.45357460,0,,,,ETHUSDT
2021-02-26,1482.08000000,1562.25000000,1400.00000000,1444.59000000,1355973.29378000,1614383999999,2004016547.11119290,1298739,662906.93964000,979857228.42828460,0,,,,ETHUSDT
2021-02-27,1444.56000000,1529.00000000,1425.00000000,1458.13000000,927423.04750000,1614470399999,1375946816.33254320,954919,452205.99129000,671100313.80011610,0,,,,ETHUSDT
2021-02-28,1458.27000000,1468.75000000,1293.18000000,1419.18000000,1410207.56284000,1614556799999,1929140046.64625870,1190546,704060.34406000,963537938.07734470,0,,,,ETHUSDT
2021-03-01,1418.67000000,1572.00000000,1409.91000000,1569.86000000,1094695.17839000,1614643199999,1642627276.31055880,989006,568597.04493000,853434777.37504840,0,,,,ETHUSDT
2021-03-02,1570.00000000,1602.90000000,1455.52000000,1486.78000000,1061142.38743000,1614729599999,1627312282.62352900,966176,508683.55658000,781051077.73856460,0,,,,ETHUSDT
2021-03-03,1486.79000000,1656.94000000,1475.47000000,1567.69000000,1054846.31471000,1614815999999,1676300215.04583230,1237215,534919.19161000,850213871.68664110,0,,,,ETHUSDT
2021-03-04,1567.68000000,1624.87000000,1506.36000000,1539.23000000,946365.67088000,1614902399999,1476463517.98648710,1125118,468540.00465000,731257773.71699530,0,,,,ETHUSDT
2021-03-05,1539.22000000,1548.96000000,1441.66000000,1528.31000000,910786.28976000,1614988799999,1355798089.27269910,1000913,451258.01245000,672042056.24061980,0,,,,ETHUSDT
2021-03-06,1528.08000000,1671.58000000,1513.03000000,1650.35000000,1013300.93928000,1615075199999,1611851701.82401670,1188531,536167.18087000,853820036.09284670,0,,,,ETHUSDT
2021-03-07,1650.68000000,1734.16000000,1630.35000000,1726.16000000,848470.78136000,1615161599999,1414988218.19354000,1166072,432388.65922000,721395027.18272030,0,,,,ETHUSDT
2021-03-08,1726.46000000,1843.59000000,1664.96000000,1833.18000000,1149711.39987000,1615247999999,1995142128.64813450,1407402,602217.91071000,1046045706.90183630,0,,,,ETHUSDT
2021-03-09,1833.22000000,1870.77000000,1798.20000000,1870.51000000,857229.47855000,1615334399999,1570286249.45090050,1196670,414078.09328000,758575748.35696330,0,,,,ETHUSDT
2021-03-10,1870.50000000,1877.69000000,1757.00000000,1795.12000000,937230.62831000,1615420799999,1706230875.26766380,1098051,451348.33020000,821707575.72727200,0,,,,ETHUSDT
2021-03-11,1795.28000000,1846.70000000,1725.00000000,1825.78000000,909011.49610000,1615507199999,1627027458.08879630,1023958,443744.99114000,794476087.91730540,0,,,,ETHUSDT
2021-03-12,1825.78000000,1841.88000000,1719.72000000,1766.10000000,869564.63610000,1615593599999,1542873062.42010170,1126153,426161.77880000,756268155.25952690,0,,,,ETHUSDT
2021-03-13,1766.13000000,1944.30000000,1727.75000000,1922.35000000,926283.22642000,1615679999999,1718553131.96147330,1265904,471925.04818000,875441534.03515230,0,,,,ETHUSDT
2021-03-14,1922.35000000,1933.10000000,1836.00000000,1848.10000000,637963.63627000,1615766399999,1200354205.60335700,963564,301776.22952000,567878404.18293170,0,,,,ETHUSDT
2021-03-15,1848.10000000,1891.76000000,1730.00000000,1793.48000000,1025326.79658000,1615852799999,1842608872.76306020,1496415,511041.33812000,918123974.55408360,0,,,,ETHUSDT
2021-03-16,1793.99000000,1819.50000000,1711.68000000,1805.12000000,764993.40147000,1615939199999,1360127229.78991600,987906,388327.71998000,690760061.47753980,0,,,,ETHUSDT
2021-03-17,1805.01000000,1838.88000000,1741.18000000,1823.58000000,658349.44843000,1616025599999,1177718486.96461370,872416,337373.92544000,603533782.44800500,0,,,,ETHUSDT
2021-03-18,1823.58000000,1850.00000000,1759.04000000,1776.08000000,603721.61056000,1616111999999,1092346826.55369030,783517,284617.82364000,514992961.42729320,0,,,,ETHUSDT
2021-03-19,1775.92000000,1840.61000000,1733.47000000,1809.10000000,500258.42875000,1616198399999,901801564.20232610,703977,250974.49054000,452606834.75388390,0,,,,ETHUSDT
2021-03-20,1809.01000000,1868.83000000,1800.86000000,1806.10000000,451556.10639000,1616284799999,828404987.65277420,743672,230001.04734000,421947140.57311450,0,,,,ETHUSDT
2021-03-21,1806.57000000,1817.16000000,1747.00000000,1782.98000000,465953.98749000,1616371199999,830951276.51307660,748800,227170.16353000,405242308.74646660,0,,,,ETHUSDT
2021-03-22,1783.23000000,1807.51000000,1655.15000000,1680.97000000,582727.49081000,1616457599999,1019780398.78218940,879976,284682.99701000,498556293.27248210,0,,,,ETHUSDT
2021-03-23,1681.17000000,1721.17000000,1650.00000000,1668.08000000,577213.99589000,1616543999999,975522491.06404260,654415,286791.61839000,484836342.00614680,0,,,,ETHUSDT
2021-03-24,1668.20000000,1740.86000000,1536.92000000,1581.84000000,753834.52393000,1616630399999,1251031751.15638120,994542,360806.99166000,599730061.13798270,0,,,,ETHUSDT
